X,state,puma,sex,age,educ,income,latino,black,asian,married
893797.0,6.0,66115.0,1.0,40.0,7.0,4500.0,1.0,0.0,0.0,1.0
224213.0,6.0,62102.0,1.0,19.0,12.0,0.0,0.0,0.0,1.0,0.0
110572.0,6.0,61402.0,1.0,81.0,9.0,18000.0,0.0,0.0,0.0,0.0
313804.0,6.0,62402.0,1.0,42.0,4.0,18000.0,0.0,0.0,1.0,1.0
492384.0,6.0,63503.0,1.0,32.0,10.0,23000.0,1.0,0.0,0.0,1.0
1078219.0,6.0,68001.0,1.0,93.0,9.0,8500.0,0.0,1.0,0.0,0.0
372346.0,6.0,62702.0,1.0,43.0,10.0,79000.0,0.0,0.0,0.0,0.0
722033.0,6.0,65414.0,1.0,36.0,2.0,500.0,1.0,0.0,0.0,0.0
1108063.0,6.0,68004.0,0.0,25.0,4.0,13000.0,1.0,0.0,0.0,0.0
699861.0,6.0,65413.0,1.0,70.0,1.0,1300.0,1.0,0.0,0.0,0.0
512280.0,6.0,64401.0,1.0,56.0,9.0,20000.0,0.0,0.0,0.0,1.0
428891.0,6.0,62802.0,1.0,34.0,11.0,18000.0,0.0,0.0,0.0,1.0
998814.0,6.0,67100.0,0.0,72.0,9.0,7200.0,0.0,0.0,1.0,1.0
947275.0,6.0,66124.0,1.0,18.0,7.0,0.0,1.0,0.0,0.0,0.0
709978.0,6.0,65416.0,0.0,58.0,2.0,45000.0,1.0,0.0,0.0,0.0
402950.0,6.0,62708.0,1.0,44.0,11.0,45900.0,0.0,0.0,0.0,1.0
600040.0,6.0,66200.0,1.0,34.0,13.0,25000.0,0.0,0.0,0.0,0.0
227105.0,6.0,62103.0,1.0,52.0,12.0,30050.0,0.0,0.0,0.0,0.0
1032871.0,6.0,67200.0,1.0,54.0,9.0,11000.0,0.0,0.0,0.0,0.0
385107.0,6.0,62705.0,0.0,60.0,2.0,19300.0,1.0,0.0,0.0,0.0
685022.0,6.0,65412.0,1.0,39.0,13.0,38000.0,0.0,0.0,0.0,0.0
1010583.0,6.0,67501.0,1.0,25.0,12.0,1500.0,0.0,0.0,1.0,0.0
790497.0,6.0,65100.0,1.0,71.0,9.0,14710.0,0.0,0.0,0.0,0.0
900086.0,6.0,66119.0,1.0,28.0,11.0,8000.0,0.0,1.0,0.0,0.0
777978.0,6.0,65200.0,1.0,19.0,9.0,0.0,1.0,0.0,0.0,0.0
14983.0,6.0,60300.0,0.0,49.0,12.0,43700.0,0.0,0.0,0.0,1.0
662053.0,6.0,65408.0,1.0,80.0,5.0,8500.0,0.0,0.0,0.0,0.0
379387.0,6.0,62704.0,0.0,24.0,8.0,0.0,1.0,0.0,0.0,0.0
150103.0,6.0,61601.0,1.0,53.0,10.0,0.0,1.0,0.0,0.0,1.0
471290.0,6.0,63402.0,1.0,43.0,11.0,15300.0,1.0,0.0,0.0,1.0
346119.0,6.0,62408.0,0.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0
554218.0,6.0,63800.0,0.0,26.0,9.0,25000.0,0.0,0.0,0.0,0.0
5895.0,6.0,60100.0,0.0,67.0,13.0,37400.0,0.0,0.0,0.0,0.0
1020646.0,6.0,67502.0,1.0,32.0,8.0,16000.0,1.0,0.0,0.0,1.0
1163656.0,6.0,68106.0,0.0,19.0,6.0,0.0,1.0,0.0,1.0,0.0
114074.0,6.0,61403.0,0.0,42.0,9.0,16500.0,0.0,0.0,0.0,0.0
985978.0,6.0,66801.0,0.0,80.0,9.0,9600.0,0.0,0.0,0.0,1.0
1168594.0,6.0,68108.0,1.0,44.0,11.0,0.0,0.0,0.0,0.0,1.0
17996.0,6.0,60300.0,0.0,22.0,9.0,9000.0,0.0,0.0,0.0,0.0
1049471.0,6.0,67602.0,0.0,32.0,12.0,91000.0,0.0,0.0,0.0,1.0
996467.0,6.0,67400.0,0.0,76.0,9.0,34000.0,0.0,0.0,0.0,1.0
903307.0,6.0,66119.0,1.0,20.0,13.0,0.0,1.0,0.0,0.0,1.0
286951.0,6.0,62302.0,0.0,29.0,11.0,15000.0,1.0,0.0,0.0,1.0
243536.0,6.0,62107.0,1.0,29.0,5.0,9000.0,0.0,0.0,0.0,0.0
817355.0,6.0,66103.0,0.0,45.0,13.0,15400.0,1.0,0.0,0.0,1.0
1194903.0,6.0,68112.0,0.0,31.0,12.0,48000.0,0.0,0.0,0.0,0.0
193602.0,6.0,62001.0,0.0,43.0,12.0,37000.0,0.0,0.0,0.0,1.0
1223782.0,6.0,68116.0,0.0,21.0,5.0,0.0,1.0,0.0,0.0,0.0
146118.0,6.0,61506.0,0.0,19.0,9.0,3600.0,1.0,0.0,0.0,0.0
38129.0,6.0,60600.0,0.0,22.0,11.0,4610.0,0.0,0.0,0.0,0.0
177536.0,6.0,63200.0,0.0,75.0,9.0,48800.0,0.0,0.0,0.0,0.0
825899.0,6.0,64800.0,1.0,45.0,13.0,67000.0,0.0,0.0,0.0,1.0
